0.368,0.0635444,0.999009,0.99902,0.999151,0.999073,0.999227,0.999067,0.998953,0.999184,0.998976,0.998817,0.997889,0.995701,0.982163,0.937031,0.791658,0.506011,0.209133,0.0618322,0.0161619,0.00376256,0.00092982,0.0000870543,0.000161822,0.0000841794,0.0000460459,0.0000460796,0.0000461114,0.0000461413,0.0000461692,0.0000461951,0.0000462191
0.384,0.0639563,0.99897,0.998984,0.999121,0.999041,0.999194,0.999027,0.998906,0.999155,0.998943,0.998769,0.997853,0.995653,0.982116,0.936991,0.791628,0.505986,0.209125,0.0618329,0.0161655,0.0037684,0.000935934,0.0000934169,0.000168062,0.0000903572,0.0000522664,0.0000523064,0.000052344,0.0000523793,0.0000524121,0.0000524425,0.0000524705
0.4,0.0640689,0.998935,0.998951,0.999095,0.999011,0.999163,0.998989,0.998862,0.999129,0.998912,0.998724,0.997818,0.995607,0.982072,0.936954,0.791601,0.505962,0.209118,0.0618342,0.0161695,0.00377464,0.000942396,0.000100149,0.000174671,0.0000969037,0.0000588616,0.0000589085,0.0000589524,0.0000589934,0.0000590314,0.0000590665,0.0000590987
0.416,0.0639071,0.998902,0.99892,0.999071,0.998985,0.999133,0.998953,0.998821,0.999107,0.998884,0.998681,0.997785,0.995562,0.982029,0.936919,0.791575,0.505941,0.209111,0.061836,0.0161739,0.00378125,0.000949183,0.00010723,0.000181627,0.000103797,0.0000658097,0.0000658638,0.0000659144,0.0000659614,0.0000660049,0.0000660448,0.0000660812
0.432,0.0634953,0.998872,0.998892,0.999049,0.998961,0.999106,0.99892,0.998782,0.999087,0.998858,0.998641,0.997755,0.995519,0.981989,0.936886,0.791553,0.50592,0.209106,0.0618383,0.0161787,0.00378822,0.000956273,0.000114633,0.000188905,0.000111012,0.0000730862,0.0000731479,0.0000732055,0.0000732588,0.0000733078,0.0000733526,0.0000733932
0.448,0.0628571,0.998845,0.998867,0.999029,0.99894,0.99908,0.998889,0.998746,0.99907,0.998834,0.998604,0.997727,0.995478,0.981951,0.936856,0.791532,0.505901,0.209101,0.0618411,0.016184,0.0037955,0.00096364,0.000122332,0.000196479,0.000118524,0.0000806647,0.0000807344,0.0000807991,0.0000808588,0.0000809134,0.0000809631,0.0000810077
0.464,0.0620147,0.998821,0.998844,0.999012,0.998922,0.999057,0.99886,0.998712,0.999055,0.998812,0.998569,0.997701,0.995439,0.981915,0.936829,0.791514,0.505884,0.209097,0.0618444,0.0161896,0.00380308,0.000971257,0.0001303,0.000204321,0.000126303,0.000088517,0.0000885948,0.0000886667,0.0000887328,0.000088793,0.0000888472,0.0000888956
0.48,0.0609888,0.9988,0.998823,0.998996,0.998907,0.999035,0.998833,0.998681,0.999044,0.998793,0.998538,0.997677,0.995402,0.981881,0.936803,0.791497,0.505868,0.209094,0.0618483,0.0161956,0.00381093,0.000979098,0.000138506,0.0002124,0.000134321,0.0000966131,0.0000966991,0.0000967783,0.0000968507,0.0000969162,0.0000969748,0.0000970265
0.496,0.0597987,0.998781,0.998805,0.998983,0.998894,0.999015,0.998808,0.998652,0.999035,0.998775,0.998508,0.997655,0.995366,0.98185,0.93678,0.791482,0.505853,0.209092,0.0618526,0.0162019,0.00381901,0.000987134,0.000146918,0.000220686,0.000142546,0.000104922,0.000105016,0.000105102,0.000105181,0.000105251,0.000105314,0.000105368
0.512,0.0584624,0.998764,0.998788,0.998971,0.998884,0.998997,0.998785,0.998626,0.999028,0.998759,0.998482,0.997636,0.995333,0.981822,0.936759,0.791469,0.505839,0.20909,0.0618574,0.0162086,0.00382729,0.000995335,0.000155505,0.000229146,0.000150948,0.00011341,0.000113513,0.000113606,0.00011369,0.000113765,0.000113831,0.000113888
0.528,0.0569972,0.998751,0.998774,0.998962,0.998876,0.998981,0.998764,0.998603,0.999025,0.998745,0.998458,0.997618,0.995301,0.981796,0.93674,0.791458,0.505826,0.209089,0.0618627,0.0162156,0.00383573,0.00100367,0.000164232,0.000237748,0.000159491,0.000122045,0.000122155,0.000122255,0.000122345,0.000122424,0.000122493,0.000122551
0.544,0.0554201,0.998739,0.998762,0.998954,0.998871,0.998967,0.998746,0.998582,0.999023,0.998733,0.998437,0.997603,0.995271,0.981772,0.936723,0.791447,0.505814,0.209089,0.0618684,0.0162229,0.00384431,0.00101211,0.000173065,0.000246456,0.000168144,0.000130791,0.000130909,0.000131015,0.00013111,0.000131192,0.000131263,0.000131322
0.56,0.0537482,0.998731,0.998751,0.998949,0.998868,0.998955,0.998729,0.998564,0.999024,0.998723,0.998419,0.99759,0.995244,0.981751,0.936707,0.791438,0.505804,0.20909,0.0618746,0.0162304,0.00385297,0.00102061,0.000181968,0.000255236,0.00017687,0.000139613,0.000139738,0.00013985,0.000139949,0.000140035,0.000140107,0.000140166
0.576,0.0519991,0.998725,0.998743,0.998946,0.998868,0.998946,0.998715,0.998549,0.999028,0.998715,0.998403,0.99758,0.995219,0.981733,0.936694,0.79143,0.505794,0.209091,0.0618812,0.0162381,0.00386168,0.00102916,0.000190905,0.000264051,0.000185635,0.000148474,0.000148606,0.000148723,0.000148826,0.000148913,0.000148986,0.000149044
0.592,0.0501914,0.998721,0.998737,0.998945,0.998871,0.998939,0.998702,0.998536,0.999034,0.998709,0.99839,0.997571,0.995196,0.981717,0.936683,0.791424,0.505785,0.209093,0.0618881,0.016246,0.0038704,0.0010377,0.000199839,0.000272866,0.000194402,0.000157337,0.000157476,0.000157598,0.000157703,0.000157792,0.000157864,0.00015792
0.608,0.0483447,0.99872,0.998733,0.998946,0.998877,0.998934,0.998692,0.998526,0.999042,0.998705,0.99838,0.997565,0.995176,0.981704,0.936674,0.791418,0.505777,0.209096,0.0618954,0.0162541,0.00387909,0.00104622,0.000208732,0.000281643,0.000203136,0.000166165,0.000166309,0.000166435,0.000166543,0.000166633,0.000166704,0.000166756
